Year,Variables,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2006,Merchandise Imports_Oil & Gas  (Millions of US Dollars),86.54,155.50,88.27,86.04,142.45,150.57,153.11,183.58,48.57,54.49,133.47,133.47
2006,Merchandise Imports_Non-Oil (Millions of US Dollars),389.61,395.08,408.93,334.65,385.53,422.86,398.80,496.29,436.27,435.75,507.07,496.69
2006,Merchandise Imports (f.o.b) (Millions of US Dollars),476.15,550.58,497.20,420.69,527.98,573.43,551.91,679.87,484.84,490.24,640.54,630.16
2006,Merchandise Exports_Other Exports  (Millions of US Dollars),102.13,84.92,88.49,91.04,100.28,79.36,114.11,98.37,118.17,48.55,163.95,127.93
2006,Merchandise Exports_Timber and Timber Products (Millions of US Dollars),13.04,17.25,18.78,16.39,18.08,18.10,15.14,18.69,16.07,18.87,17.04,12.03
2006,Merchandise Exports_Cocoa Beans  (Millions of US Dollars),104.14,90.02,123.88,74.81,91.34,84.96,128.33,120.21,28.03,18.59,102.36,74.38
2006,Merchandise Exports_Gold (Millions of US Dollars),100.89,85.65,107.37,100.04,121.87,98.57,106.05,125.04,98.33,100.33,122.98,110.13
2006,Merchandise Exports (f.o.b) (Millions of US Dollars),320.20,277.84,338.52,282.28,331.57,280.99,363.63,362.31,260.60,186.34,406.33,324.47
2005,Merchandise Exports Less Imports_Trade Balance (Millions of US Dollars),161.41,215.15,134.66,179.29,206.67,212.35,225.32,307.16,224.54,280.74,241.61,203.82
2005,Merchandise Imports_Oil & Gas  (Millions of US Dollars),33.35,95.27,80.53,21.91,98.08,122.16,90.36,131.86,47.87,118.61,107.03,119.22
2005,Merchandise Imports_Non-Oil (Millions of US Dollars),303.92,315.97,328.94,363.49,323.63,328.16,351.86,433.40,418.90,324.80,342.38,378.11
2005,Merchandise Imports (f.o.b) (Millions of US Dollars),337.27,411.24,409.47,385.40,421.71,450.32,442.22,565.26,466.77,443.41,449.41,497.33
2005,Merchandise Exports_Other Exports  (Millions of US Dollars),20.93,2.34,67.60,45.59,27.33,59.49,71.21,88.65,132.70,47.42,72.14,79.24
2005,Merchandise Exports_Timber and Timber Products (Millions of US Dollars),13.70,15.42,21.47,21.79,20.82,19.26,20.94,19.40,19.15,19.32,19.32,16.70
2005,Merchandise Exports_Cocoa Beans  (Millions of US Dollars),70.74,119.15,97.20,64.32,94.43,74.86,61.90,62.60,15.12,17.24,37.65,103.24
2005,Merchandise Exports_Gold (Millions of US Dollars),70.50,63.85,88.54,74.41,72.46,84.37,62.84,87.46,75.25,78.68,78.68,94.34
2005,Merchandise Exports (f.o.b) (Millions of US Dollars),175.86,196.09,274.81,206.11,215.04,237.97,216.90,258.11,242.23,162.66,207.80,293.51
